,name,workCity,workType,workingExp,companySize,education,jobSummary,companyName,salaryReal,recruitNumber,property,is_duplicate_with_previous
37,初级数据分析工程师,北京,全职,1年以下,1000-9999人,本科,一、岗位职责：1、负责收集和整理数据，为数据分析做准备。2、使用数据分析工具进行基础数据分析，如Excel、SQL等。3、协助团队进行数据清洗和预处理，确保数据质量和一致性。4、支持数据可视化工作，使用工具如Tableau、Power BI等制作基础报告和图表。5、参与数据项目的规划和执行，根据需求提供数据支持。二、任职要求：1、熟悉数据库管理系统，如SQL和基础NoSQL。2、掌握基础的数据分析...,公安部第一研究所,15001-20000,1,事业单位,False
38,综合类-品牌管理,全国,全职,无经验,500-999人,本科,工作职责1.了解品牌传播需求，敏锐洞察行业形势和目标人群特质，针对性制定品牌推广策略和传播规划； 2.针对热点事件、重大节点策划相关选题，产出文案、视频、图片等内容 ；3.协助负责品牌官微、官抖的日常运营，通过内容营销、用户关系维护等，提升阅读量、粉丝数、活跃度和粘度等关键指标 ；4.对于整体传播过程和结果进行量化跟踪和数据分析，提升传播效率；5.协助参与品牌活动等策划并进行传播。任职要求1.本科...,新城控股集团有限公司上海分公司,0-0,0,民营,False
39,上市大平台/贝壳找房/急聘新媒体运营管理底薪6000（地点天津）,全国,全职,不限,10000人以上,本科,前期重保障，重培养，无提成；后期获客稳定后轻保障，重提成，我教的60分能力小白30天内能掌握，房产领域知识学的快一些能轻松驾驭，按照我孵化的新号流量和获客速度，预计8000-15000/月，成熟后转化团队足够大，店面20+的转化团队，大区100+转化团队，只要你流量大，都能转化，流量越多收入越高，成熟后可以配置自己的转化团队，客源贡献提成+带队提佣+合伙人分红能力：免费的90天从0基础到成熟运营的...,北京链家置地房地产经纪有限公司,9000-18000,11,民营,False
40,数据分析助理（双休）,杭州,全职,不限,20-99人,本科,1.日常数据整理、分类、统计;定期提交日常数据分析报告。2.针对日常运营数据进行统计分析，并进行交易报表汇总及开展相关业务分析工作;3.保持与相应数据接口部门工作沟通，保证数据分析工作有效进行。任职资格:1)统计学、数学、运筹学、计算机或相关专业本科及以上学历;2)能熟练使用 Excel，熟悉office常用功能3)熟练使用相关工具(如SPSS/SAS/SQL等软件)进行数据提取分析用户消费行为及...,宿州九霄云网络科技有限公司,8001-15000,2,,False
41,数据分析师（应届生）,北京,全职,无经验,20-99人,本科,岗位职责：1. 参与公司数据项目，了解客户的业务分析场景、收集业务需求，并梳理成清晰的分析逻辑，与客户保持顺畅的沟通。2. 运用数据分析工具Power BI制作可视化报表，如数据建模、可视化等。3. 与数据库团队配合，保证项目上线后报表数据的准确性。任职要求:1. 有用过Power BI工具相关工作经验的应届生优先考虑。2. 学习能力较好，沟通表达能力强，英语水平要好。3. 本科以上学历，数学、统...,敏捷艾科,8001-10000,1,民营,False
42,数据分析助理,郑州,全职,1年以下,20-99人,本科,岗位内容：1. 收集、整理和分析各类数据，为公司提供基础数据和决策支持。2. 建立和维护各种类型的数据指标和报告，跟踪业务进展和趋势。3. 参与规划和执行公司数据战略，推动数字化转型和技术创新。4. 探索和应用数据挖掘和机器学习技术，提高数据价值和利用效率。任职要求：1. 具备统计学、数学、计算机科学或相关领域的学士及以上学历。2. 熟练使用常见的数据分析工具和平台，如Excel、SQL、BI工具...,郑州尊双电子商务有限公司,9001-12000,10,,False
43,产品经理（数据分析方向）(J10311),北京,全职,不限,500-999人,本科,岗位职责:1、跟踪图书情报业、信息服务业相关动态信息，开展新型服务模式研究； 2、围绕知识资源的组织利用，开展文献计量、科技评价、大数据分析等方法与应用研究，跟踪知识挖掘的前沿技术及其应用进展；3、组织面向学科领域或科研实体的情报分析和知识挖掘，实现数据挖掘与分析全过程规范；4、负责情报分析产品的完整生命周期，完成产品规划，用户需求定义、产品功能/交互的设计，撰写产品需求文档及原型设计文档；5、对...,北京万方数据股份有限公司,10001-15000,2,国企,False
44,上市大平台/贝壳找房/急聘新媒体运营管理底薪6000（地点天津）,全国,全职,不限,10000人以上,本科,前期重保障，重培养，无提成；后期获客稳定后轻保障，重提成，我教的60分能力小白30天内能掌握，房产领域知识学的快一些能轻松驾驭，按照我孵化的新号流量和获客速度，预计8000-15000/月，成熟后转化团队足够大，店面20+的转化团队，大区100+转化团队，只要你流量大，都能转化，流量越多收入越高，成熟后可以配置自己的转化团队，客源贡献提成+带队提佣+合伙人分红能力：免费的90天从0基础到成熟运营的...,北京链家置地房地产经纪有限公司,9000-18000,11,民营,False
45,数据分析助理,上海,全职,1年以下,20人以下,本科,我们是一家以数据驱动为核心，整合企业内外部数据，以业界领先的分析算法为企业提供营销、运营、供应链、生产维护全链条智能分析优化解决方案的技术服务公司，目前公司处于初创阶段，已有多个大型集团公司客户。创始团队来自MIT、NCSU、浙江大学、阿里、腾讯等。岗位职责：1、数据预处理与整合：根据公司内部或客户的基本需求，负责收集、整理和初步处理各类业务数据，包括但不限于销售记录、库存信息、市场基本数据等。确...,阿伽科技(上海)有限公司,8001-12000,1,民营,False
46,数据分析师（应届生）,上海,全职,无经验,20-99人,本科,岗位职责：1. 参与公司数据项目，了解客户的业务分析场景、收集业务需求，并梳理成清晰的分析逻辑，与客户保持顺畅的沟通。2. 运用数据分析工具Power BI制作可视化报表，如数据建模、可视化等。3. 与数据库团队配合，保证项目上线后报表数据的准确性。任职要求:1. 有用过Power BI工具相关工作经验的应届生优先考虑。2. 学习能力较好，沟通表达能力强，英语水平要好。3. 本科以上学历，数学、统...,敏捷艾科,8001-10000,1,民营,False
47,数据分析师,重庆,全职,不限,10000人以上,本科,岗位职责:1、对公司各板块业务的数据现状进行梳理，输出基于业务蓝图的数据图谱；2、构建数据治理体系及数据治理框架，完成数据治理实施方案的制定及落地，负责相关技术文档的输出；3、承接部分业务场景前期需求梳理，过程模型设计，后期技术开发；4、提炼项目价值，完成解决方案和汇报材料等相关材料的编写。任职要求:1、熟练使用Mysql/Oracle等传统关系型数据库，熟练应用SQL语法，具备数据模型设计能力；...,新大正物业集团股份有限公司,10001-15000,1,民营,False
48,数据分析助理（零基础可带+双休）,贵阳,全职,不限,100-299人,本科,我司是政务及经济大数据专业运营商，TO B和 TO G联动发展，处于高速成长的赛道，我们要做决策者的“数据头条”。目前全国布局，是华为的合作伙伴，产品获得科技进步奖。国有控股，员工持股平台，自助餐，帅哥靓女多，充满挑战和机遇!欢迎一起冲浪做大数据弄潮儿!岗位职责:(1)负责核对基础数据准确性，提升数据质量;(2) 基于业务需求进行数据收集、整理，指标统计及可视化;(3) 其余临时性数据需求的实现。...,深圳市云道远科技有限公司,8001-11000,20,,False
49,上市大平台/贝壳找房/急聘新媒体运营管理底薪6000（地点天津）,全国,全职,不限,10000人以上,本科,前期重保障，重培养，无提成；后期获客稳定后轻保障，重提成，我教的60分能力小白30天内能掌握，房产领域知识学的快一些能轻松驾驭，按照我孵化的新号流量和获客速度，预计8000-15000/月，成熟后转化团队足够大，店面20+的转化团队，大区100+转化团队，只要你流量大，都能转化，流量越多收入越高，成熟后可以配置自己的转化团队，客源贡献提成+带队提佣+合伙人分红能力：免费的90天从0基础到成熟运营的...,北京链家置地房地产经纪有限公司,9000-18000,11,民营,False
50,电商数据分析师,北京,全职,不限,500-999人,大专,岗位内容：1. 分析和挖掘大量的数据源，为业务发展和决策提供支持。2. 负责开发、维护和优化各类数据仓库和数据报表，保证数据质量和准确性。3. 与业务团队紧密合作，深入了解业务需求，提供全面的数据分析解决方案。4. 执行并监督指标和KPI体系，跟踪业务进展和成效。任职要求：1. 具备统计学、数学、计算机科学或相关领域的学历。2. 精通SQL语言和常用的数据分析工具和平台，如Excel、Tablea...,赤峰谛禾汽车科技有限公司,15001-30000,5,其它,False
51,数据分析（2023届应届毕业生）,上海,全职,不限,20-99人,学历不限,"岗位职责:岗位职责：1、定期推送营报表，及时监控指标运行情况；2、通过数据分析，挖掘业务问题，提出优化建议；3、日常业务数据的提供,维护业务部门的业务数据库；4、对源数据进行收集、整理、存档，完善部门数据支撑平台。任职要求:2023届应届生 数据分析相关专业",上海市住房和城乡建设管理委员会人才开发评价中心,10001-15000,10,事业单位,False
52,数据分析助理（双休）,上海,全职,不限,100-299人,本科,工作职责： 1．日常数据整理、分类、统计；定期提交日常数据分析报告。2．针对日常运营数据进行统计分析，并进行交易报表汇总及开展相关业务分析工作；3．保持与相应数据接口部门工作沟通，保证数据分析工作有效进行。 任职资格： 1）统计学、数学、运筹学、计算机或相关专业本科及以上学历；2）能熟练使用Excel，熟悉office常用功能3）熟练使用相关工具（如SPSS/SAS/SQL等软件）进行数据提取分析...,杭州烛名科技有限公司,10001-16000,5,民营,False
53,数据分析师（助理）,上海,全职,1年以下,20-99人,大专,此岗位是协助数据分析师做以下工作内容： 1、对既有业务的数据的搜集、整理、提取、分配，统计、分析、预测、报告、挖掘，提交，分析报告 2、对产品生命周期以及相关数据进行分析和挖掘 3、对日常业务团队过程，结果分析，发现问题，给出解决方案 4、支持业务部门的报表处理及数据需求，挖掘分析主题，开展数据分析工作，为管理层和业务部门提供商业策略分析，业务优化，以及开发产品改善建议，改进运营效果 5、其他部门...,上海慧之昀软件有限公司,6001-7000,2,,False
54,数据分析师(J40636),北京,全职,不限,10000人以上,本科,岗位职责:1、深入理解公司业务，关注核心指标并深入分析解读，通过对业务指标的多维度拆解分析，发现潜在问题，洞察业务增长点，协同业务团队输出有效方案；2、与业务部门对接，负责各项目数据报告的整理和评估，向业务部门输出报告，满足业务数据监控与预警需求；3、针对业务所沉淀的数据，研究数据挖掘模型，引入数据分析方法及模型到实际分析工作当中；4、研究用户画像、定期进行用户行为数据分析，结合不同的使用场景，提...,新东方教育科技集团有限公司,15001-20000,1,上市公司,False
55,数据分析师,天津,全职,不限,100-299人,本科,岗位内容：1. 收集、整理和分析各类数据，为公司提供基础数据和决策支持。2. 建立和维护各种类型的数据指标和报告，跟踪业务进展和趋势。3. 参与规划和执行公司数据战略，推动数字化转型和技术创新。4. 探索和应用数据挖掘和机器学习技术，提高数据价值和利用效率。任职要求：1. 具备统计学、数学、计算机科学或相关领域的学士及以上学历。2. 熟练使用常见的数据分析工具和平台，如Excel、SQL、BI工具...,上海敖凸曼网络科技有限公司,10001-15000,8,,False
